X,Y,Rang,Type,ID
770183.585928894,6270673.34095903,1,Site,1
770187.850961126,6270670.73145715,1,Site,2
770192.115993358,6270668.12195527,1,Site,3
770196.381025591,6270665.51245339,1,Site,4
770200.646057823,6270662.90295151,1,Site,5
770204.911090055,6270660.29344963,1,Site,6
770209.176122287,6270657.68394775,1,Site,7
770213.44115452,6270655.07444587,1,Site,8
770217.706186752,6270652.464944,1,Site,9
770221.971218984,6270649.85544212,1,Site,10
770226.236251216,6270647.24594024,1,Site,11
770230.501283449,6270644.63643836,1,Site,12
770234.766315681,6270642.02693648,1,Site,13
770239.031347913,6270639.4174346,1,Site,14
770243.296380145,6270636.80793272,1,Site,15
770247.561412378,6270634.19843084,1,Site,16
770251.82644461,6270631.58892896,1,Site,17
770256.091476842,6270628.97942708,1,Site,18
770260.356509074,6270626.3699252,1,Site,19
770264.621541307,6270623.76042332,1,Site,20
770268.886573539,6270621.15092144,1,Site,21
770273.151605771,6270618.54141956,1,Site,22
770277.416638003,6270615.93191769,1,Site,23
770281.681670236,6270613.32241581,1,Site,24
770285.946702468,6270610.71291393,1,Site,25
770290.2117347,6270608.10341205,1,Site,26
770294.476766932,6270605.49391017,1,Site,27
770298.741799165,6270602.88440829,1,Site,28
770303.006831397,6270600.27490641,1,Site,29
770307.271863629,6270597.66540453,1,Site,30
770311.536895861,6270595.05590265,1,Site,31
770320.066960326,6270589.83689889,1,Site,32
770324.331992558,6270587.22739701,1,Site,33
770328.59702479,6270584.61789513,1,Site,34
770332.862057023,6270582.00839326,1,Site,35
770337.127089255,6270579.39889138,1,Site,36
770354.187218184,6270568.96088386,1,Site,37
770181.490096743,6270677.5139597,2,Site,38
770185.754857855,6270674.90401475,2,Site,39
770190.019618968,6270672.2940698,2,Site,40
770194.284380081,6270669.68412485,2,Site,41
770198.549141194,6270667.0741799,2,Site,42
770202.813902306,6270664.46423494,2,Site,43
770207.078663419,6270661.85428999,2,Site,44
770211.343424532,6270659.24434504,2,Site,45
770215.608185644,6270656.63440009,2,Site,46
770219.872946757,6270654.02445514,2,Site,47
770224.13770787,6270651.41451019,2,Site,48
770228.402468983,6270648.80456523,2,Site,49
770232.667230095,6270646.19462028,2,Site,50
770236.931991208,6270643.58467533,2,Site,51
770241.196752321,6270640.97473038,2,Site,52
770245.461513433,6270638.36478543,2,Site,53
770249.726274546,6270635.75484047,2,Site,54
770253.991035659,6270633.14489552,2,Site,55
770258.255796771,6270630.53495057,2,Site,56
770262.520557884,6270627.92500562,2,Site,57
770266.785318997,6270625.31506067,2,Site,58
770271.05008011,6270622.70511572,2,Site,59
770275.314841222,6270620.09517076,2,Site,60
770279.579602335,6270617.48522581,2,Site,61
770283.844363448,6270614.87528086,2,Site,62
770288.10912456,6270612.26533591,2,Site,63
770292.373885673,6270609.65539096,2,Site,64
770296.638646786,6270607.045446,2,Site,65
770300.903407898,6270604.43550105,2,Site,66
770305.168169011,6270601.8255561,2,Site,67
770309.432930124,6270599.21561115,2,Site,68
770313.697691237,6270596.6056662,2,Site,69
770317.962452349,6270593.99572125,2,Site,70
770322.227213462,6270591.38577629,2,Site,71
770326.491974575,6270588.77583134,2,Site,72
770330.756735687,6270586.16588639,2,Site,73
770335.0214968,6270583.55594144,2,Site,74
770339.286257913,6270580.94599649,2,Site,75
770343.551019026,6270578.33605153,2,Site,76
770347.815780138,6270575.72610658,2,Site,77
770352.080541251,6270573.11616163,2,Site,78
770356.345302364,6270570.50621668,2,Site,79
770183.585928894,6270673.34095903,2,Site,80
770187.850961126,6270670.73145715,2,Site,81
770192.115993358,6270668.12195527,2,Site,82
770196.381025591,6270665.51245339,2,Site,83
770200.646057823,6270662.90295151,2,Site,84
770204.911090055,6270660.29344963,2,Site,85
770209.176122287,6270657.68394775,2,Site,86
770213.44115452,6270655.07444587,2,Site,87
770217.706186752,6270652.464944,2,Site,88
770221.971218984,6270649.85544212,2,Site,89
770226.236251216,6270647.24594024,2,Site,90
770230.501283449,6270644.63643836,2,Site,91
770234.766315681,6270642.02693648,2,Site,92
770239.031347913,6270639.4174346,2,Site,93
770243.296380145,6270636.80793272,2,Site,94
770247.561412378,6270634.19843084,2,Site,95
770251.82644461,6270631.58892896,2,Site,96
770256.091476842,6270628.97942708,2,Site,97
770260.356509074,6270626.3699252,2,Site,98
770264.621541307,6270623.76042332,2,Site,99
770268.886573539,6270621.15092144,2,Site,100
770273.151605771,6270618.54141956,2,Site,101
770277.416638003,6270615.93191769,2,Site,102
770281.681670236,6270613.32241581,2,Site,103
770285.946702468,6270610.71291393,2,Site,104
770290.2117347,6270608.10341205,2,Site,105
770294.476766932,6270605.49391017,2,Site,106
770298.741799165,6270602.88440829,2,Site,107
770303.006831397,6270600.27490641,2,Site,108
770307.271863629,6270597.66540453,2,Site,109
770311.536895861,6270595.05590265,2,Site,110
770320.066960326,6270589.83689889,2,Site,111
770324.331992558,6270587.22739701,2,Site,112
770328.59702479,6270584.61789513,2,Site,113
770332.862057023,6270582.00839326,2,Site,114
770337.127089255,6270579.39889138,2,Site,115
770354.187218184,6270568.96088386,2,Site,116
770182.728676996,6270679.52665262,3,Site,117
770186.994812232,6270676.91895437,3,Site,118
770191.260947467,6270674.31125612,3,Site,119
770195.527082703,6270671.70355787,3,Site,120
770199.793217938,6270669.09585963,3,Site,121
770204.059353174,6270666.48816138,3,Site,122
770208.325488409,6270663.88046313,3,Site,123
770212.591623645,6270661.27276488,3,Site,124
770216.85775888,6270658.66506663,3,Site,125
770221.123894116,6270656.05736839,3,Site,126
770225.390029352,6270653.44967014,3,Site,127
770229.656164587,6270650.84197189,3,Site,128
770233.922299823,6270648.23427364,3,Site,129
770238.188435058,6270645.62657539,3,Site,130
770242.454570294,6270643.01887715,3,Site,131
770246.720705529,6270640.4111789,3,Site,132
770250.986840765,6270637.80348065,3,Site,133
770255.252976,6270635.1957824,3,Site,134
770259.519111236,6270632.58808416,3,Site,135
770263.785246472,6270629.98038591,3,Site,136
770268.051381707,6270627.37268766,3,Site,137
